Product_ID,Category,Sub_Category,Product_Name
TEC-CO-10004535,Technology,Copiers,Hewlett Fax Machine
TEC-AC-10000420,Technology,Accessories,Belkin Router
FUR-BO-10001212,Furniture,Bookcases,Safco Classic Bookcase
TEC-PH-10001670,Technology,Phones,Motorola Smart Phone
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter
FUR-BO-10004679,Furniture,Bookcases,Safco Library with Doors
OFF-AP-10001776,Office Supplies,Appliances,Hoover Refrigerator
TEC-MA-10003704,Technology,Machines,StarTech Printer
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer
TEC-AC-10000376,Technology,Accessories,Memorex Router
TEC-CO-10003800,Technology,Copiers,Hewlett Wireless Fax
TEC-SAM-10004230,Technology,Phones,Samsung Smart Phone
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs
OFF-AP-10002312,Office Supplies,Appliances,KitchenAid Refrigerator
TEC-PH-10000169,Technology,Phones,Apple Smart Phone
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs
FUR-BO-10000288,Furniture,Bookcases,Safco Classic Bookcase
TEC-AC-10000866,Technology,Accessories,Belkin Router
OFF-AP-10001623,Office Supplies,Appliances,Hoover Stove
FUR-BO-10003541,Furniture,Bookcases,Bush Classic Bookcase
TEC-CO-10004365,Technology,Copiers,HP Wireless Fax
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
TEC-PH-10000800,Technology,Phones,Cisco Smart Phone
FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase
FUR-TA-10001642,Furniture,Tables,Lesro Round Table
OFF-AP-10001041,Office Supplies,Appliances,Hoover Stove
OFF-AP-10002090,Office Supplies,Appliances,Hamilton Beach Refrigerator
OFF-AP-10002330,Office Supplies,Appliances,Hamilton Beach Stove
TEC-CIS-10002344,Technology,Phones,Cisco Smart Phone
FUR-TA-10002153,Furniture,Tables,Lesro Round Table
OFF-AP-10004964,Office Supplies,Appliances,Hoover Stove
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
FUR-CH-10002061,Furniture,Chairs,Harbour Creations Executive Leather Armchair
TEC-PH-10002759,Technology,Phones,Cisco Smart Phone
TEC-PH-10001699,Technology,Phones,Samsung Smart Phone
TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print
TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone
FUR-BO-10000490,Furniture,Bookcases,Bush Library with Doors
TEC-PH-10000018,Technology,Phones,Nokia Smart Phone
FUR-HON-10003533,Furniture,Chairs,Hon Executive Leather Armchair
TEC-AC-10001949,Technology,Accessories,Enermax Router
OFF-HOO-10004910,Office Supplies,Appliances,Hoover Refrigerator
TEC-MA-10001335,Technology,Machines,Epson Printer
FUR-TA-10000347,Furniture,Tables,Hon Computer Table
TEC-PH-10000493,Technology,Phones,Apple Smart Phone
FUR-TA-10003596,Furniture,Tables,Lesro Computer Table
FUR-TA-10003179,Furniture,Tables,Lesro Wood Table
TEC-PH-10001396,Technology,Phones,Nokia Smart Phone
FUR-TA-10003078,Furniture,Tables,Hon Training Table
FUR-CH-10003581,Furniture,Chairs,Hon Executive Leather Armchair
FUR-TA-10000184,Furniture,Tables,Barricks Conference Table
OFF-AP-10001956,Office Supplies,Appliances,Breville Refrigerator
TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2
OFF-AP-10003382,Office Supplies,Appliances,Breville Stove
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top
OFF-AP-10003917,Office Supplies,Appliances,KitchenAid Stove
OFF-ST-10002900,Office Supplies,Storage,Smead Lockers
TEC-CO-10003819,Technology,Copiers,Sharp Copy Machine
OFF-AP-10000675,Office Supplies,Appliances,Hamilton Beach Stove
FUR-BO-10003404,Furniture,Bookcases,Global Adaptabilites Bookcase
OFF-AP-10001824,Office Supplies,Appliances,Breville Stove
OFF-SME-10000746,Office Supplies,Storage,Smead Lockers
TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer
OFF-ST-10001490,Office Supplies,Storage,Hot File 7-Pocket
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone
TEC-CO-10000208,Technology,Copiers,Brother Wireless Fax
FUR-CH-10003312,Furniture,Chairs,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs
TEC-EPS-10000053,Technology,Machines,Epson Receipt Printer
OFF-ST-10004060,Office Supplies,Storage,Fellowes Lockers
TEC-PH-10000303,Technology,Phones,Samsung Smart Phone
FUR-BO-10002708,Furniture,Bookcases,Dania Library with Doors
FUR-BO-10000210,Furniture,Bookcases,Ikea Library with Doors
FUR-BO-10001192,Furniture,Bookcases,Bush Library with Doors
FUR-SAU-10002255,Furniture,Bookcases,Sauder Classic Bookcase
FUR-CH-10000974,Furniture,Chairs,Harbour Creations Executive Leather Armchair
OFF-AP-10003866,Office Supplies,Appliances,Breville Microwave
FUR-CH-10003616,Furniture,Chairs,Novimex Executive Leather Armchair
FUR-CH-10000479,Furniture,Chairs,Harbour Creations Executive Leather Armchair
TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax
OFF-HOO-10000318,Office Supplies,Appliances,Hoover Microwave
TEC-NOK-10001283,Technology,Phones,Nokia Smart Phone
OFF-AP-10000407,Office Supplies,Appliances,KitchenAid Refrigerator
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System
FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair
TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer
FUR-BAR-10004434,Furniture,Tables,Barricks Wood Table
FUR-BO-10002444,Furniture,Bookcases,Sauder Library with Doors
FUR-BO-10004709,Furniture,Bookcases,Bush Classic Bookcase
TEC-MA-10004772,Technology,Machines,Konica Inkjet
FUR-BAR-10003532,Furniture,Tables,Barricks Conference Table
TEC-CO-10002911,Technology,Copiers,Hewlett Wireless Fax
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
FUR-SAU-10004653,Furniture,Bookcases,Sauder Classic Bookcase
TEC-NOK-10004339,Technology,Phones,Nokia Smart Phone
FUR-TA-10000022,Furniture,Tables,Hon Conference Table
FUR-CH-10000843,Furniture,Chairs,SAFCO Executive Leather Armchair
OFF-AP-10002681,Office Supplies,Appliances,Hamilton Beach Stove
TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System
OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine
OFF-AP-10004627,Office Supplies,Appliances,Hamilton Beach Stove
TEC-PH-10001076,Technology,Phones,Nokia Smart Phone
TEC-PH-10001457,Technology,Phones,Apple Smart Phone
TEC-MA-10004534,Technology,Machines,Konica Printer
FUR-BO-10003991,Furniture,Bookcases,Bush Classic Bookcase
OFF-AP-10002793,Office Supplies,Appliances,KitchenAid Stove
FUR-CH-10002093,Furniture,Chairs,Harbour Creations Rocking Chair
FUR-BO-10003103,Furniture,Bookcases,Ikea Classic Bookcase
TEC-CO-10001818,Technology,Copiers,Sharp Wireless Fax
TEC-CO-10002040,Technology,Copiers,Brother Fax Machine
TEC-CO-10001654,Technology,Copiers,Hewlett Wireless Fax
OFF-AP-10002397,Office Supplies,Appliances,Breville Microwave
TEC-CAN-10001853,Technology,Copiers,Canon Fax Machine
FUR-CH-10001207,Furniture,Chairs,Hon Executive Leather Armchair
TEC-PH-10002597,Technology,Phones,Apple Signal Booster
TEC-CO-10002617,Technology,Copiers,Brother Fax Machine
TEC-CO-10000556,Technology,Copiers,HP Wireless Fax
OFF-AP-10000275,Office Supplies,Appliances,Sanyo Counter Height Refrigerator with Crisper
TEC-HEW-10003460,Technology,Copiers,Hewlett Fax and Copier
TEC-PH-10002672,Technology,Phones,Cisco Smart Phone
TEC-PH-10000106,Technology,Phones,Apple Smart Phone
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room
TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer
TEC-SAM-10000345,Technology,Phones,Samsung Audio Dock
TEC-CIS-10002259,Technology,Phones,Cisco Smart Phone
OFF-AP-10004350,Office Supplies,Appliances,KitchenAid Refrigerator
OFF-HOO-10000335,Office Supplies,Appliances,Hoover Microwave
FUR-BO-10004129,Furniture,Bookcases,Sauder Classic Bookcase
OFF-ST-10004597,Office Supplies,Storage,Rogers File Cart
FUR-CH-10001664,Furniture,Chairs,Novimex Swivel Stool
OFF-AP-10003240,Office Supplies,Appliances,Breville Stove
FUR-TA-10000136,Furniture,Tables,Chromcraft Conference Table
FUR-BO-10002866,Furniture,Bookcases,Safco Classic Bookcase
OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers
FUR-TA-10001276,Furniture,Tables,Lesro Coffee Table
TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone
TEC-APP-10002966,Technology,Phones,Apple Smart Phone
FUR-CH-10000685,Furniture,Chairs,Hon Executive Leather Armchair
FUR-BO-10001541,Furniture,Bookcases,Bush Stackable Bookrack
TEC-CO-10003931,Technology,Copiers,Hewlett Fax Machine
FUR-BO-10001553,Furniture,Bookcases,Sauder Library with Doors
OFF-ST-10004748,Office Supplies,Storage,Smead Lockers
OFF-AP-10000540,Office Supplies,Appliances,Hamilton Beach Refrigerator
TEC-CO-10004567,Technology,Copiers,Brother Fax Machine
FUR-BO-10001749,Furniture,Bookcases,Bush Classic Bookcase
OFF-ROG-10003898,Office Supplies,Storage,Rogers Lockers
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
TEC-CO-10002663,Technology,Copiers,Sharp Wireless Fax
TEC-CO-10001419,Technology,Copiers,Hewlett Copy Machine
TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier
TEC-CO-10000679,Technology,Copiers,Hewlett Personal Copier
FUR-IKE-10001539,Furniture,Bookcases,Ikea Classic Bookcase
TEC-CO-10002376,Technology,Copiers,Hewlett Fax Machine
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
OFF-AP-10000136,Office Supplies,Appliances,Hamilton Beach Refrigerator
FUR-BO-10000567,Furniture,Bookcases,Sauder Classic Bookcase
FUR-BO-10001471,Furniture,Bookcases,Sauder Classic Bookcase
OFF-ST-10001758,Office Supplies,Storage,Rogers Lockers
TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH
OFF-ST-10004191,Office Supplies,Storage,Tenex Lockers
FUR-TA-10004154,Furniture,Tables,Riverside Furniture Oval Coffee Table
FUR-OFF-10001224,Furniture,Chairs,Office Star Swivel Stool
FUR-BO-10002545,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases
OFF-AP-10004913,Office Supplies,Appliances,KitchenAid Refrigerator
TEC-MA-10002392,Technology,Machines,Konica Card Printer
FUR-TA-10003222,Furniture,Tables,Barricks Wood Table
TEC-AC-10000639,Technology,Accessories,Belkin Router
FUR-TA-10003354,Furniture,Tables,Barricks Conference Table
OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine
OFF-AP-10001527,Office Supplies,Appliances,Hamilton Beach Microwave
TEC-SAM-10004940,Technology,Phones,Samsung Smart Phone
TEC-CO-10003777,Technology,Copiers,Hewlett Copy Machine
OFF-AP-10001169,Office Supplies,Appliances,Cuisinart Microwave
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases
FUR-BO-10000120,Furniture,Bookcases,Sauder Stackable Bookrack
TEC-PH-10002991,Technology,Phones,Apple Smart Phone
FUR-TA-10000989,Furniture,Tables,Lesro Conference Table
TEC-MA-10004609,Technology,Machines,Okidata Inkjet
TEC-CO-10003448,Technology,Copiers,Canon Personal Copier
TEC-CO-10003496,Technology,Copiers,Brother Wireless Fax
OFF-ST-10003150,Office Supplies,Storage,Smead Lockers
FUR-BO-10004947,Furniture,Bookcases,Safco Stackable Bookrack
FUR-CH-10004694,Furniture,Chairs,Office Star Rocking Chair
FUR-CH-10004669,Furniture,Chairs,Novimex Executive Leather Armchair
FUR-BO-10001196,Furniture,Bookcases,Bush Library with Doors
OFF-KIT-10001380,Office Supplies,Appliances,KitchenAid Microwave
TEC-MA-10000753,Technology,Machines,Epson Printer
OFF-ST-10000624,Office Supplies,Storage,Eldon File Cart
TEC-PH-10002601,Technology,Phones,Motorola Smart Phone
OFF-ROG-10001735,Office Supplies,Storage,Rogers Lockers
FUR-TA-10002256,Furniture,Tables,Hon Wood Table
TEC-CO-10001413,Technology,Copiers,Hewlett Wireless Fax
FUR-LES-10002026,Furniture,Tables,Lesro Conference Table
TEC-MA-10001777,Technology,Machines,Okidata Printer
FUR-CH-10004462,Furniture,Chairs,Hon Executive Leather Armchair
FUR-BO-10002580,Furniture,Bookcases,Safco Classic Bookcase
TEC-PH-10004618,Technology,Phones,Motorola Signal Booster
OFF-ROG-10001101,Office Supplies,Storage,Rogers Shelving
OFF-AP-10002252,Office Supplies,Appliances,Cuisinart Stove
FUR-CH-10000660,Furniture,Chairs,Novimex Executive Leather Armchair
FUR-TA-10001285,Furniture,Tables,Chromcraft Conference Table
OFF-ST-10003741,Office Supplies,Storage,Smead Lockers
FUR-BO-10003046,Furniture,Bookcases,Safco Library with Doors
FUR-TA-10001116,Furniture,Tables,Barricks Conference Table
TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit
FUR-CH-10002780,Furniture,Chairs,Office Star Executive Leather Armchair
FUR-BO-10004558,Furniture,Bookcases,Sauder Library with Doors
TEC-PH-10003457,Technology,Phones,Cisco Smart Phone
TEC-MEM-10002005,Technology,Accessories,Memorex Router
TEC-CO-10003342,Technology,Copiers,Canon Fax Machine
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
FUR-BEV-10004919,Furniture,Tables,Bevis Wood Table
TEC-OKI-10001385,Technology,Machines,Okidata Inkjet
FUR-CH-10003009,Furniture,Chairs,Novimex Swivel Stool
FUR-BO-10002613,Furniture,Bookcases,Atlantic Metals Mobile 4-Shelf Bookcases
OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine
OFF-AP-10001931,Office Supplies,Appliances,Cuisinart Stove
OFF-AP-10001305,Office Supplies,Appliances,Breville Microwave
TEC-CO-10002150,Technology,Copiers,Canon Fax and Copier
TEC-PH-10004823,Technology,Phones,Nokia Smart Phone
FUR-CH-10000051,Furniture,Chairs,Harbour Creations Executive Leather Armchair
FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs
TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone
FUR-TA-10003268,Furniture,Tables,Lesro Round Table
TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset
FUR-BO-10002204,Furniture,Bookcases,Bush Classic Bookcase
TEC-AC-10004571,Technology,Accessories,Logitech Router
FUR-CH-10004095,Furniture,Chairs,SAFCO Executive Leather Armchair
TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer
OFF-KIT-10003683,Office Supplies,Appliances,KitchenAid Stove
FUR-BO-10000980,Furniture,Bookcases,Bush Library with Doors
FUR-BUS-10004644,Furniture,Bookcases,Bush Library with Doors
TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active
OFF-AP-10002321,Office Supplies,Appliances,Hoover Microwave
TEC-PH-10000896,Technology,Phones,Cisco Signal Booster
TEC-MEM-10002202,Technology,Accessories,Memorex Router
FUR-BO-10001356,Furniture,Bookcases,Ikea Library with Doors
TEC-SHA-10001231,Technology,Copiers,Sharp Wireless Fax
FUR-HON-10001960,Furniture,Tables,Hon Wood Table
FUR-TA-10002966,Furniture,Tables,Chromcraft Computer Table
FUR-BO-10001943,Furniture,Bookcases,Safco Library with Doors
TEC-BRO-10004802,Technology,Copiers,Brother Fax Machine
TEC-PH-10001751,Technology,Phones,Samsung Smart Phone
TEC-PH-10003713,Technology,Phones,Nokia Smart Phone
FUR-BO-10000967,Furniture,Bookcases,Ikea Library with Doors
OFF-AP-10002317,Office Supplies,Appliances,Hamilton Beach Refrigerator
TEC-SHA-10000971,Technology,Copiers,Sharp Fax Machine
FUR-CH-10000546,Furniture,Chairs,Harbour Creations Executive Leather Armchair
TEC-STA-10002497,Technology,Machines,StarTech Card Printer
TEC-CO-10001895,Technology,Copiers,Sharp Wireless Fax
OFF-AP-10002573,Office Supplies,Appliances,Hamilton Beach Stove
FUR-BO-10001255,Furniture,Bookcases,Ikea Library with Doors
FUR-BO-10002990,Furniture,Bookcases,Dania Library with Doors
FUR-TA-10004711,Furniture,Tables,Lesro Conference Table
OFF-AP-10000584,Office Supplies,Appliances,Breville Refrigerator
TEC-PH-10000720,Technology,Phones,Samsung Audio Dock
OFF-SME-10000538,Office Supplies,Storage,Smead File Cart
FUR-BO-10002736,Furniture,Bookcases,Sauder Stackable Bookrack
OFF-CUI-10000682,Office Supplies,Appliances,Cuisinart Stove
TEC-AC-10002244,Technology,Accessories,Enermax Router
TEC-HEW-10003829,Technology,Copiers,Hewlett Wireless Fax
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables
OFF-AP-10001593,Office Supplies,Appliances,Cuisinart Microwave
OFF-BRE-10001107,Office Supplies,Appliances,Breville Stove
TEC-MA-10002428,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder
TEC-CO-10003655,Technology,Copiers,Hewlett Wireless Fax
FUR-CH-10001271,Furniture,Chairs,SAFCO Executive Leather Armchair
TEC-CO-10000447,Technology,Copiers,Canon Wireless Fax
FUR-CH-10001332,Furniture,Chairs,Office Star Executive Leather Armchair
FUR-CH-10002573,Furniture,Chairs,Office Star Executive Leather Armchair
OFF-ST-10000704,Office Supplies,Storage,Rogers File Cart
TEC-CO-10003354,Technology,Copiers,Brother Fax Machine
TEC-MA-10002918,Technology,Machines,StarTech Card Printer
FUR-CH-10001588,Furniture,Chairs,Hon Executive Leather Armchair
TEC-MA-10001752,Technology,Machines,Konica Printer
TEC-PH-10004006,Technology,Phones,Nokia Audio Dock
FUR-BO-10000035,Furniture,Bookcases,Dania Classic Bookcase
OFF-AP-10003275,Office Supplies,Appliances,KitchenAid Microwave
OFF-AP-10003561,Office Supplies,Appliances,Breville Microwave
TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer
TEC-STA-10003330,Technology,Machines,StarTech Printer
TEC-CAN-10000932,Technology,Copiers,Canon Fax Machine
FUR-CH-10000994,Furniture,Chairs,Harbour Creations Rocking Chair
FUR-BO-10003783,Furniture,Bookcases,Dania Library with Doors
OFF-AP-10001329,Office Supplies,Appliances,KitchenAid Stove
TEC-CO-10004563,Technology,Copiers,HP Copy Machine
OFF-HOO-10001783,Office Supplies,Appliances,Hoover Microwave
OFF-AP-10003558,Office Supplies,Appliances,Hoover Refrigerator
FUR-BO-10000170,Furniture,Bookcases,Safco Library with Doors
FUR-TA-10002101,Furniture,Tables,Bevis Conference Table
TEC-PH-10000419,Technology,Phones,Apple Smart Phone
FUR-TA-10001494,Furniture,Tables,Lesro Wood Table
